Delta_QALYs	Delta_Costs	Group
0.599665587	5293.317982	0 
0.549719437	8994.709414	0 
0.571856336	4355.189169	0 
0.577051168	5116.692462	0 
0.54011744	5265.895757	0 
0.581880982	4992.19489	0 
0.576305229	6112.885613	0 
0.616818726	4489.152346	0 
0.557344522	5639.968565	0 
0.580783629	6440.770664	0 
0.58005602	6126.739782	0 
0.628668403	4690.507273	0 
0.554276622	4480.95743	0 
0.566694034	3842.500993	0 
0.523171507	3427.385793	0 
0.585691985	3800.280214	0 
0.560480342	3765.848669	0 
0.58922587	4836.212464	0 
0.574572624	3360.063706	0 
0.600182062	4757.193658	0 
0.6007214	3685.743258	0 
0.497023277	3096.953818	0 
0.507984724	5096.835995	0 
0.647617938	5487.957002	0 
0.555970575	3526.45136	0 
0.655211946	4494.797288	0 
0.637060837	4762.994259	0 
0.608502447	4102.039542	0 
0.582714976	6273.488385	0 
0.505972045	5412.514808	0 
0.572920749	6362.438561	0 
0.549880273	5296.253237	0 
0.581546899	4376.053244	0 
0.549814204	5914.340142	0 
0.599588216	2685.296404	0 
0.4893613	7602.340519	0 
0.568840769	10590.16917	0 
0.579715194	5285.725965	0 
0.576030978	7307.44969	0 
0.601919465	3340.249153	0 
0.551610516	6275.780201	0 
0.588087995	5955.767152	0 
0.548831686	4112.922574	0 
0.57129167	9898.941706	0 
0.502556972	5823.858283	0 
0.557396341	4438.308986	0 
0.577088653	10837.03637	0 
0.581196389	5755.833619	0 
0.627389803	3525.102299	0 
0.523413424	4194.9585	0 
0.610428611	3869.658684	0 
0.602645815	3347.528222	0 
0.594638693	4328.309045	0 
0.644785367	3751.2944	0 
0.584438485	7446.23569	0 
0.565261042	7129.746711	0 
0.612361911	3433.707905	0 
0.593704979	2382.221634	0 
0.529656183	8913.293941	0 
0.610157679	6414.007856	0 
0.603657427	4811.640122	0 
0.563693537	10491.35815	0 
0.62159783	7870.767545	0 
0.561500009	4730.247736	0 
0.591657182	5108.954041	0 
0.54582053	6177.964138	0 
0.556540274	4773.258289	0 
0.580692755	4739.843058	0 
0.62229429	4231.447933	0 
0.618250492	7123.968076	0 
0.575163893	4460.212632	0 
0.613854965	3986.233477	0 
0.620123901	4626.972632	0 
0.614206446	7158.019699	0 
0.582506882	9894.899325	0 
0.544643621	3401.8133	0 
0.584535415	3191.382256	0 
0.610866446	5100.058412	0 
0.590628524	3722.062864	0 
0.568181833	4993.553363	0 
0.602044795	3721.218635	0 
0.610991246	5133.752213	0 
0.518488871	3940.079362	0 
0.616499516	7563.735411	0 
0.571318015	6018.207885	0 
0.638825389	3921.166679	0 
0.638122924	4263.665913	0 
0.530884877	12166.26683	0 
0.53540158	5210.804468	0 
0.596042507	4574.768277	0 
0.571276709	5785.153073	0 
0.582281571	5533.726591	0 
0.616961194	4178.431098	0 
0.589946721	3703.376867	0 
0.55802782	3102.654903	0 
0.552951269	3785.133728	0 
0.583057477	9871.141084	0 
0.601077528	7379.221555	0 
0.572534389	3870.035618	0 
0.604413655	5252.458931	0 
0.548866119	5074.792589	0 
0.592642931	5992.133681	0 
0.554151251	3667.094488	0 
0.63700803	4739.654932	0 
0.600089598	4546.691786	0 
0.571904286	2963.462492	0 
0.576766565	3960.884582	0 
0.530448356	4451.079817	0 
0.58919109	6613.95878	0 
0.56726485	5698.117136	0 
0.599521169	8941.305561	0 
0.57678643	3657.83223	0 
0.590533735	4464.448853	0 
0.53942054	15438.79511	0 
0.607236261	3440.669372	0 
0.550752586	3579.802358	0 
0.604276919	2724.945963	0 
0.622079341	4227.875365	0 
0.539228213	3915.610137	0 
0.551379669	4869.321046	0 
0.585647415	6289.511867	0 
0.582079773	3866.456795	0 
0.586807242	6177.604226	0 
0.586754575	5773.251216	0 
0.569508843	3359.241429	0 
0.551584451	3714.153936	0 
0.614910317	4969.183921	0 
0.567142244	3394.935338	0 
0.601981082	3339.07441	0 
0.570479963	9857.90043	0 
0.568445486	2979.060737	0 
0.584400129	5829.133053	0 
0.63409579	6251.113756	0 
0.565228269	4737.921455	0 
0.616942304	10094.09862	0 
0.566832763	6412.535787	0 
0.524703595	6673.956583	0 
0.535215808	6108.392153	0 
0.59695062	5313.576792	0 
0.560729925	7339.197816	0 
0.620680932	4728.040222	0 
0.59472058	3311.942619	0 
0.587681064	5254.892503	0 
0.54792278	3782.290396	0 
0.579485096	3643.148277	0 
0.559992833	9775.013562	0 
0.617221638	4645.749709	0 
0.522425834	3678.095157	0 
0.522124997	2912.921044	0 
0.584310034	3420.30096	0 
0.572939666	4708.456011	0 
0.615821637	3077.316977	0 
0.597871333	4976.087602	0 
0.619364578	13983.23768	0 
0.511723295	4164.458576	0 
0.565036321	2886.162678	0 
0.545577548	5281.177714	0 
0.594947407	3880.053848	0 
0.579129728	5791.418557	0 
0.569130865	8826.322249	0 
0.55554164	2804.138927	0 
0.544420185	10517.03628	0 
0.593793848	4193.335339	0 
0.589216432	5409.418602	0 
0.536571879	4940.762663	0 
0.584862107	7006.45098	0 
0.480655554	3448.837077	0 
0.588005615	4270.228082	0 
0.564063112	3986.641079	0 
0.592044219	5484.951661	0 
0.610996726	5910.446454	0 
0.610402535	3190.621767	0 
0.60476533	4483.270874	0 
0.56766449	3294.797124	0 
0.629310319	4081.621908	0 
0.581469575	3826.342694	0 
0.579527865	6219.826538	0 
0.592050504	4010.258817	0 
0.585234229	5748.663022	0 
0.588292511	4900.514632	0 
0.581611083	9266.320556	0 
0.561407266	4585.421944	0 
0.595185067	4423.081155	0 
0.582091651	4008.133063	0 
0.621583596	7858.754825	0 
0.580744612	4751.870735	0 
0.561286723	3554.26192	0 
0.592834187	6704.511586	0 
0.554446221	5088.996515	0 
0.521170843	3343.96335	0 
0.590585925	7073.812972	0 
0.552130388	6408.505114	0 
0.57978051	4509.665189	0 
0.604105462	11751.06111	0 
0.579147649	3066.471074	0 
0.554911361	4369.479409	0 
0.58961257	4807.227511	0 
0.515726664	6381.426245	0 
0.591058244	4130.723567	0 
0.610411064	3322.045633	0 
0.561379856	4611.182824	0 
0.500859923	4695.751018	0 
0.516120254	5011.240033	0 
0.59756356	4595.358991	0 
0.590502202	3276.154609	0 
0.612170898	7687.623646	0 
0.575446492	4312.283469	0 
0.591957644	5354.09938	0 
0.56965893	5454.079983	0 
0.599710153	5123.446064	0 
0.570634303	3956.703304	0 
0.635285082	9828.659852	0 
0.62355223	3504.721996	0 
0.543256393	9021.217902	0 
0.548839775	7026.00295	0 
0.547366082	3433.633792	0 
0.581029784	4815.666324	0 
0.595425202	6369.154368	0 
0.608535419	3525.475715	0 
0.543289939	3711.14461	0 
0.589019172	6314.840761	0 
0.566334871	9473.618692	0 
0.586861098	3581.370368	0 
0.548467311	3447.828543	0 
0.604611194	4904.63581	0 
0.621676306	3450.453821	0 
0.597378432	4980.013507	0 
