Delta_QALYs,Delta_Costs,Group
0.627122308,11741.97512,0
0.65911522,10793.39656,0
0.603526424,16298.1934,0
0.644779458,14083.62362,0
0.641567386,17214.36354,0
0.557854154,14533.66798,0
0.60768635,15100.45985,0
0.60457203,15379.44373,0
0.550631277,13515.88205,0
0.634713686,14579.86017,0
0.622161057,19405.69639,0
0.652427639,14451.07455,0
0.673292476,13866.8236,0
0.584756727,16740.51137,0
0.600713103,16178.79259,0
0.566565404,14392.81904,0
0.620494023,12332.56853,0
0.627880087,13342.13688,0
0.650027704,17727.13571,0
0.646173947,19766.81072,0
0.612476284,18127.55295,0
0.609778269,15533.77983,0
0.570185435,17132.03051,0
0.511724151,15167.10251,0
0.634124548,14968.67948,0
0.624287867,17447.95037,0
0.623065463,16931.91087,0
0.648970376,19057.5883,0
0.561792607,13981.14607,0
0.614080301,19522.66026,0
0.584743988,17539.68254,0
0.624409759,16568.2021,0
0.662458312,12834.00116,0
0.607395693,17122.7309,0
0.56148702,17448.32893,0
0.607552069,14870.30875,0
0.676436117,15799.94248,0
0.56139229,10465.46714,0
0.614920975,11997.33989,0
0.59512486,12691.67427,0
0.566981526,12195.01606,0
0.662230007,17278.86069,0
0.56874194,9940.902012,0
0.581472563,14347.59131,0
0.619490019,14624.08201,0
0.571384166,14059.36043,0
0.631815894,13204.30772,0
0.643562156,17760.3982,0
0.669522933,15447.0586,0
0.665880996,13910.25359,0
0.589897727,18820.92903,0
0.627940206,17468.50044,0
0.621312191,16701.97449,0
0.545810821,14170.04863,0
0.58331444,13308.54157,0
0.621401304,17550.10186,0
0.617500354,13454.63769,0
0.564632656,14394.71761,0
0.603622967,17990.91297,0
0.654328366,15480.52107,0
0.568325048,13976.0518,0
0.601286492,11679.97833,0
0.522715967,13051.1433,0
0.64266594,14718.8232,0
0.668990039,12958.38836,0
0.474862279,10147.5001,0
0.621097387,17498.13642,0
0.548347744,11704.13447,0
0.619348754,15014.98813,0
0.628919634,12143.27083,0
0.565991738,15913.88674,0
0.573962041,11417.62959,0
0.61218643,16409.89349,0
0.649438358,15881.98897,0
0.60428888,10351.26878,0
